,symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,PTT,2016-10-14 00:00:00+00:00,35.3,35.7,34.5,34.8,"123,975,000",35.3,35.7,34.5,34.8,"123,975,000",0,1
1,PTT,2016-10-17 00:00:00+00:00,35.2,35.5,34.8,35.4,"60,042,000",35.2,35.5,34.8,35.4,"60,042,000",0,1
2,PTT,2016-10-18 00:00:00+00:00,35.5,36.1,35,35.2,"91,061,000",35.5,36.1,35,35.2,"91,061,000",0,1
3,PTT,2016-10-19 00:00:00+00:00,35.4,36.1,35.3,35.4,"69,100,000",35.4,36.1,35.3,35.4,"69,100,000",0,1
4,PTT,2016-10-20 00:00:00+00:00,35.7,36.3,35.7,36,"66,088,000",35.7,36.3,35.7,36,"66,088,000",0,1
5,PTT,2016-10-21 00:00:00+00:00,35.2,35.7,35.1,35.6,"60,102,000",35.2,35.7,35.1,35.6,"60,102,000",0,1
6,PTT,2016-10-25 00:00:00+00:00,35.4,35.5,35.2,35.4,"39,662,000",35.4,35.5,35.2,35.4,"39,662,000",0,1
7,PTT,2016-10-26 00:00:00+00:00,34.7,35.3,34.7,35.3,"32,226,000",34.7,35.3,34.7,35.3,"32,226,000",0,1
8,PTT,2016-10-27 00:00:00+00:00,35.1,35.4,34.6,34.7,"44,266,000",35.1,35.4,34.6,34.7,"44,266,000",0,1
9,PTT,2016-10-28 00:00:00+00:00,34.9,35.1,34.7,35,"39,966,000",34.9,35.1,34.7,35,"39,966,000",0,1
10,PTT,2016-10-31 00:00:00+00:00,34.6,34.7,34.4,34.6,"33,599,000",34.6,34.7,34.4,34.6,"33,599,000",0,1
11,PTT,2016-01-11 00:00:00+00:00,34.6,34.8,34.3,34.6,"35,592,000",34.6,34.8,34.3,34.6,"35,592,000",0,1
12,PTT,2016-02-11 00:00:00+00:00,34.2,34.4,34.1,34.4,"32,028,000",34.2,34.4,34.1,34.4,"32,028,000",0,1
13,PTT,2016-03-11 00:00:00+00:00,34,34.6,34,34,"42,346,000",34,34.6,34,34,"42,346,000",0,1
14,PTT,2016-04-11 00:00:00+00:00,33.7,34.1,33.6,33.9,"42,114,000",33.7,34.1,33.6,33.9,"42,114,000",0,1
15,PTT,2016-07-11 00:00:00+00:00,34.6,34.6,33.8,34.1,"26,992,000",34.6,34.6,33.8,34.1,"26,992,000",0,1
16,PTT,2016-08-11 00:00:00+00:00,34.9,35,34.4,34.6,"38,205,000",34.9,35,34.4,34.6,"38,205,000",0,1
17,PTT,2016-09-11 00:00:00+00:00,34.5,34.6,33.8,34.4,"83,727,000",34.5,34.6,33.8,34.4,"83,727,000",0,1
18,PTT,2016-10-11 00:00:00+00:00,34.1,34.7,34.1,34.7,"57,591,000",34.1,34.7,34.1,34.7,"57,591,000",0,1
19,PTT,2016-11-11 00:00:00+00:00,33.5,34,33.5,33.9,"52,138,000",33.5,34,33.5,33.9,"52,138,000",0,1
20,PTT,2016-11-14 00:00:00+00:00,32.7,32.9,32.5,32.6,"64,731,000",32.7,32.9,32.5,32.6,"64,731,000",0.82,1
21,PTT,2016-11-15 00:00:00+00:00,33.7,33.8,32.7,32.9,"48,542,000",33.7,33.8,32.7,32.9,"48,542,000",0,1
22,PTT,2016-11-16 00:00:00+00:00,33.7,34.4,33.7,34.3,"76,063,000",33.7,34.4,33.7,34.3,"76,063,000",0,1
23,PTT,2016-11-17 00:00:00+00:00,34,34,33.5,33.9,"26,695,000",34,34,33.5,33.9,"26,695,000",0,1
24,PTT,2016-11-18 00:00:00+00:00,34.4,34.4,33.6,33.9,"55,313,000",34.4,34.4,33.6,33.9,"55,313,000",0,1
25,PTT,2016-11-21 00:00:00+00:00,34.1,34.7,34.1,34.5,"49,270,000",34.1,34.7,34.1,34.5,"49,270,000",0,1
26,PTT,2016-11-22 00:00:00+00:00,34.4,34.7,34.4,34.6,"46,651,000",34.4,34.7,34.4,34.6,"46,651,000",0,1
27,PTT,2016-11-23 00:00:00+00:00,35,35,34.5,34.6,"55,610,000",35,35,34.5,34.6,"55,610,000",0,1
28,PTT,2016-11-24 00:00:00+00:00,34.9,35.1,34.6,35,"35,083,000",34.9,35.1,34.6,35,"35,083,000",0,1
