Date,Open Price,High Price,Low Price,Close Price,Adj Close Price,Volume
12/1/2021,35.75,37,35.5,36.75,36.75,"64,936,900"
12/2/2021,36.25,37.25,36,37.25,37.25,"61,302,400"
12/3/2021,37.25,37.5,36.75,36.75,36.75,"36,459,300"
12/7/2021,37.25,37.75,37,37.5,37.5,"61,053,200"
12/8/2021,37.5,38,37.5,37.5,37.5,"34,299,900"
12/9/2021,37.5,37.75,37,37.5,37.5,"52,624,400"
12/13/2021,37.75,38,37,37.5,37.5,"84,879,300"
12/14/2021,37.5,37.75,37.25,37.75,37.75,"36,242,300"
12/15/2021,37.5,37.75,37.25,37.5,37.5,"38,990,500"
12/16/2021,37.5,37.75,37,37.5,37.5,"35,239,100"
12/17/2021,37.5,38,37.5,38,38,"67,784,100"
12/20/2021,37.5,37.75,37,37.25,37.25,"39,688,100"
12/21/2021,37.5,37.5,37,37,37,"21,118,200"
12/22/2021,37.5,37.5,37.25,37.5,37.5,"9,297,200"
12/23/2021,37.5,38,37.5,38,38,"41,667,500"
12/24/2021,38,38.25,37.75,38,38,"19,817,700"
12/27/2021,38,38,37.5,37.75,37.75,"29,699,300"
12/28/2021,37.75,38,37.75,38,38,"18,096,900"
12/29/2021,37.75,38.25,37.75,38.25,38.25,"42,015,700"
12/30/2021,38.5,38.5,38,38,38,"45,388,600"
